District code,District name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Hindus,Muslims,LPG_or_PNG_Households,Christians,LPG_or_PNG_Households,Sikhs,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Buddhists,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Jains,Others_Religions,Rural_Households,Urban_Households,State,District,Latitude,Longitude,sex_ratio,literate_rate
4,Kargil,140802,77785,63017,86236,56301,29935,10341,108239,3285,604,3285,1171,87532,35561,17488,20126,15824,235,1005,28,4,40370,7774,Jammu and Kashmir,Kargil,33.565994894894914,76.63675315315312,123.43494612564862,61.246289115211425
5,Punch,476835,251899,224936,261724,163333,98391,32604,431279,13160,958,13160,11188,304979,109818,61334,83,62900,346,3342,10,2,132139,15269,Jammu and Kashmir,Punch,33.791241290322574,74.29593161290322,111.9869651812071,54.88774943114495
7,Kathua,616435,326109,290326,389204,228499,160705,540063,64234,32772,1828,32772,9551,357864,160123,97684,24,109422,1443,6112,16,2,181374,33473,Jammu and Kashmir,Kathua,32.51781678321678,75.58901398601404,112.32511039314426,63.1378815284661
10,Srinagar,1236829,651124,585705,748584,431746,316838,42540,1177342,138119,2746,138119,12187,693238,351561,190330,285,165403,16413,33831,74,2,4518,257721,Jammu and Kashmir,Srinagar,34.27312898550724,75.11021159420288,111.16927463484177,60.52445406761969
12,Pulwama,560440,293064,267376,293958,178326,115632,13840,535159,16828,1109,16828,9440,342601,137032,80111,35,73629,1537,5293,6,18,147520,21703,Jammu and Kashmir,Pulwama,33.88414418604652,75.00921860465118,109.60744419843218,52.451288273499394
16,Doda,409936,213641,196295,219083,138620,80463,187621,220614,7963,472,7963,422,263576,93189,52744,21,61831,596,3077,22,42,122267,11350,Jammu and Kashmir,Doda,33.359614675767915,76.07163720136518,108.8366998649991,53.443220405136415
19,Udhampur,554985,296784,258201,322354,197543,124811,489044,59771,20008,1962,20008,3418,339145,140785,74757,106,73999,1214,5744,57,235,148664,34696,Jammu and Kashmir,Udhampur,33.04770670731707,75.15286951219511,114.9430095158423,58.083371622656465
21,Jammu,1529958,813821,716137,1137135,641916,495219,1289240,107489,197168,12104,197168,114272,816827,435895,275585,470,294739,19905,46657,1987,321,254566,248043,Jammu and Kashmir,Jammu,32.713199095022645,74.8477520361991,113.64040679367216,74.32458930245144
23,Chamba,519080,261320,257760,323842,186064,137778,479782,32455,21458,1559,21458,2745,306555,130606,81566,1740,96082,1615,5117,57,14,186395,13836,Himachal Pradesh,Chamba,32.66741814595661,76.39354063116366,101.38112973308505,62.3876859058334
24,Kangra,1510075,750591,759484,1152640,606443,546197,1461140,19797,148361,3023,148361,8929,766581,419172,319420,14511,330081,8053,22753,194,208,588321,39007,Himachal Pradesh,Kangra,32.14093603238864,76.41205910931173,98.82907342353494,76.32998361008559
26,Kullu,437903,225452,212451,307672,174550,133122,415669,2974,40064,1568,40064,1396,244727,120510,72282,15377,91322,2623,7010,94,83,167995,20709,Himachal Pradesh,Kullu,31.90911922077925,77.40922649350647,106.11952873839144,70.26030878984615
27,Mandi,999777,498065,501712,723747,393669,330078,981412,9460,59324,876,59324,4081,524285,279321,194661,2628,214491,5333,16401,43,86,431129,31696,Himachal Pradesh,Mandi,31.635805940594054,76.96556930693067,99.2730889434576,72.39084315802424
28,Hamirpur,454768,217070,237698,358091,180555,177536,449412,3711,34978,243,34978,591,224044,123941,106641,95,104120,2521,7525,293,9,196116,15232,Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,91.32176122643017,78.74146817718045
28,Hamirpur,454768,217070,237698,358091,180555,177536,449412,3711,34978,243,34978,591,224044,123941,106641,95,104120,2521,7525,293,9,196116,15232,Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,91.32176122643017,78.74146817718045
168,Hamirpur,1104285,593537,510748,653299,408125,245174,1010014,91269,20175,814,20175,196,660774,260368,181109,74,55929,1196,11037,41,273,256081,55300,Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,116.20936352173675,59.16036168199332
168,Hamirpur,1104285,593537,510748,653299,408125,245174,1010014,91269,20175,814,20175,196,660774,260368,181109,74,55929,1196,11037,41,273,256081,55300,Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,116.20936352173675,59.16036168199332
29,Una,521173,263692,257481,399715,213281,186434,480138,14275,43809,390,43809,26009,273223,142351,105358,56,105929,2412,8238,70,10,185091,20126,Himachal Pradesh,Una,31.58330388349513,76.18353932038836,102.41221682376565,76.69526241766171
30,Bilaspur,381956,192764,189192,287620,155599,132021,371973,6984,17262,236,17262,2387,193671,107367,80497,113,79146,1574,6281,10,7,152458,11987,Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,101.8880290921392,75.3018672307805
30,Bilaspur,381956,192764,189192,287620,155599,132021,371973,6984,17262,236,17262,2387,193671,107367,80497,113,79146,1574,6281,10,7,152458,11987,Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,101.8880290921392,75.3018672307805
406,Bilaspur,2663629,1351574,1312055,1596560,932474,664086,2540763,57973,77727,20745,77727,6373,1625484,655032,380114,2979,519704,8566,30892,2357,29122,549632,188174,Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,103.01199263750375,59.939278330428145
406,Bilaspur,2663629,1351574,1312055,1596560,932474,664086,2540763,57973,77727,20745,77727,6373,1625484,655032,380114,2979,519704,8566,30892,2357,29122,549632,188174,Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,103.01199263750375,59.939278330428145
31,Solan,580320,308754,271566,428578,244372,184206,548579,14678,53722,1452,53722,13926,321533,167168,90808,574,119866,5250,14478,591,110,192787,51509,Himachal Pradesh,Solan,31.03864311926604,76.94442140672783,113.69390866308741,73.85201268265784
32,Sirmaur,529855,276289,253566,362645,205617,157028,476830,33215,28904,577,28904,15501,310244,136839,82471,2645,91509,2220,8593,236,86,171102,21054,Himachal Pradesh,Sirmaur,30.682764453961443,77.43184689507493,108.96137494774536,68.44230968849968
33,Shimla,814010,425039,388971,612642,342846,269796,791449,11810,108888,2025,108888,4047,425721,241956,145577,3262,172754,9177,24127,185,197,279269,95896,Himachal Pradesh,Shimla,31.155725451807253,77.62573042168668,109.27267071324083,75.26222036584316
34,Kinnaur,84121,46249,37872,60699,36697,24002,64732,448,10740,485,10740,249,42360,26599,15075,18086,17865,354,2563,29,45,44514,0,Himachal Pradesh,Kinnaur,31.60667184065933,78.51613736263741,122.11924376848332,72.15677417054005
35,Gurdaspur,2298323,1212617,1085706,1634719,907660,727059,1074332,27667,244468,176587,244468,1002874,1261421,611353,423301,405,411216,14428,38445,580,812,420860,185488,Punjab,Gurdaspur,32.04283371212125,75.3204064393939,111.6892602601441,71.12659969899792
36,Kapurthala,815168,426311,388857,576567,316254,260313,336124,10190,110555,5445,110555,453692,433331,222324,157833,6662,161206,9732,23145,553,334,165433,95770,Punjab,Kapurthala,31.336592638036837,75.47641165644177,109.63181838053578,70.72983728507498
37,Jalandhar,2193590,1145211,1048379,1622537,882581,739956,1394329,30233,299449,26016,299449,718363,1159156,616431,416449,11385,446200,39082,79134,4011,805,330339,377791,Punjab,Jalandhar,31.250336907216507,75.54400350515463,109.23635440999868,73.96719532820627
38,Hoshiarpur,1586625,809057,777568,1199699,637927,561772,1000743,23089,201675,14968,201675,538208,831741,422782,330671,3476,319930,13747,34328,2034,531,422673,128592,Punjab,Hoshiarpur,31.55157169811319,75.8469857442349,104.04967797028684,75.61326715512487
40,Fatehgarh Sahib,600163,320795,279368,426033,238696,187337,152851,16808,64037,1698,64037,427521,321018,166781,111028,48,113683,5138,14294,178,251,117559,57337,Punjab,Fatehgarh Sahib,30.64290947368421,76.36208394736842,114.82882792588987,70.98621541147988
41,Ludhiana,3498739,1867816,1630923,2560225,1428348,1131877,1502403,77713,488757,16517,488757,1863408,1901528,980046,614258,2007,703624,58589,123400,19620,1254,395032,641789,Punjab,Ludhiana,30.76596397379912,75.83110851528383,114.52508794100027,73.17564985556224
42,Moga,995746,525920,469826,627889,348549,279340,158414,9388,89445,3277,89445,818921,535408,258826,194768,178,183396,7897,21662,436,365,214295,74144,Punjab,Moga,30.756540067340065,75.1600845117845,111.93931370337104,63.057145095235136
43,Firozpur,2029074,1071637,957437,1227511,707070,520441,906408,6844,141899,19358,141899,1090815,1171770,525459,331259,454,349662,10042,31070,1143,278,348522,153868,Punjab,Firozpur,30.63407535211269,74.40245732394365,111.9276777479876,60.49611793359927
44,Muktsar,901896,475622,426274,524848,300401,224447,254920,4333,76441,1681,76441,638625,495167,242628,162297,240,166585,4571,14077,744,433,149507,74650,Punjab,Muktsar,30.31243303303303,74.5518747747748,111.57659158194026,58.19384940170485
45,Faridkot,617508,326671,290837,381285,215767,165518,141363,3125,62103,1227,62103,469789,336540,164962,113721,155,113549,4348,12276,1109,103,99946,58917,Punjab,Faridkot,30.591187250996025,74.79751553784862,112.32099079553153,61.745758759400694
46,Bathinda,1388525,743197,645328,844868,488261,356607,380569,16299,118427,2474,118427,984286,754927,377707,255283,246,255650,11284,32253,1266,559,218159,137563,Punjab,Bathinda,30.190524611973352,75.05685898004438,115.16577616343938,60.84643776669487
47,Mansa,769751,408732,361019,423560,244037,179523,156539,10375,39414,917,39414,598443,420050,200882,146103,123,140099,2673,10085,1577,493,145603,50786,Punjab,Mansa,29.919547714285724,75.4304922857143,113.2162019173506,55.025586196055606
48,Patiala,1895686,1002522,893164,1266791,711052,555739,783306,40043,209192,5683,209192,1059944,1042519,517079,335100,245,352929,24274,55105,1914,1410,299279,218090,Punjab,Patiala,30.214540380693364,76.27505893949697,112.24388802056508,66.82493830729351
49,Amritsar,2490656,1318408,1172248,1684770,932981,751789,690939,12502,279993,54344,279993,1716935,1384987,667193,436496,876,461231,29961,63864,3152,1044,275477,385476,Punjab,Amritsar,31.548679820627772,74.79883856502238,112.46835140686953,67.6436248120977
51,Rupnagar,684627,357485,327142,502731,278534,224197,304481,14492,67749,2094,67749,361045,365300,185424,131707,118,129123,6600,17542,653,143,148162,60537,Punjab,Rupnagar,30.910937330754347,76.53743500967126,109.27517714020212,73.43137211941685
53,Sangrur,1655169,878029,777140,1002077,570413,431664,389410,179116,135280,2406,135280,1077438,904316,435148,311621,268,305557,10736,30955,3222,1038,292156,156788,Punjab,Sangrur,30.185045204336895,75.89437014178496,112.9820881694418,60.54227695177955
55,Chandigarh,1055450,580663,474787,805438,465346,340092,852574,51447,168344,8720,168344,138329,602411,303748,148945,1160,231204,44283,78113,1960,246,8911,289456,Chandigarh,Chandigarh,30.7426,76.75872465753424,122.29968385823537,76.31228385996495
56,Uttarkashi,330086,168597,161489,215126,128237,86889,324859,3554,21374,353,21374,167,202426,75997,51245,563,52621,602,4104,74,105,112148,9061,Uttaranchal,Uttarkashi,30.968958552036234,78.56880615384617,104.40153818526339,65.17271256581618
57,Chamoli,391605,193991,197614,280556,155395,125161,385818,4395,27853,428,27853,323,229715,93182,67873,190,71524,899,5582,11,23,163434,22906,Uttaranchal,Chamoli,30.58338611464965,79.56281095541402,98.166627870495,71.6425990475096
59,Tehri Garhwal,618931,297986,320945,407994,227406,180588,609835,7374,50929,656,50929,290,368324,139371,109998,32,117239,1366,7831,91,109,227059,27177,Uttaranchal,Tehri Garhwal,30.463700918635173,78.48783792650917,92.84643786318529,65.91914122898999
62,Pithoragarh,483439,239306,244133,345550,189623,155927,475105,6015,45365,1401,45365,260,273494,116749,92517,185,95421,1344,7932,13,30,183687,26256,Uttaranchal,Pithoragarh,30.14720631868129,80.34229230769236,98.02279904805987,71.47747699296086
